No.  X  Y  Z  Yaw  Pitch  Roll  Weld_En
1 -19.771 17.323 1.33 0 0 1 1
1 -20.991 17.305 1.33 0 0 1 1
1 -22.107 17.208 1.33 0 0 1 1
1 -23.415 17.002 1.33 0 0 1 1
1 -24.605 16.721 1.33 0 0 1 1
1 -25.77 16.355 1.33 0 0 1 1
1 -26.907 15.904 1.33 0 0 1 1
1 -27.915 15.42 1.33 0 0 1 1
1 -28.984 14.813 1.33 0 0 1 1
1 -29.571 14.437 1.33 0 0 1 1
1 -30.076 14.083 1.33 0 0 1 1
1 -31.04 13.324 1.33 0 0 1 1
1 -31.945 12.5 1.33 0 0 1 1
1 -32.715 11.692 1.33 0 0 1 1
1 -33.562 10.668 1.33 0 0 1 1
1 -34.266 9.672 1.33 0 0 1 1
1 -34.895 8.629 1.33 0 0 1 1
1 -35.451 7.536 1.33 0 0 1 1
1 -35.889 6.499 1.33 0 0 1 1
1 -36.16 5.747 1.33 0 0 1 1
1 -36.314 5.257 1.33 0 0 1 1
1 -36.598 4.169 1.33 0 0 1 1
1 -36.86 2.732 1.33 0 0 1 1
1 -36.974 1.653 1.33 0 0 1 1
1 -37.019 0.421 1.33 0 0 1 1
1 -37.011 -0.088 1.33 0 0 1 1
1 -36.975 -0.793 1.33 0 0 1 1
1 -36.855 -1.91 1.33 0 0 1 1
1 -36.684 -2.916 1.33 0 0 1 1
1 -36.6 -3.304 1.33 0 0 1 1
1 -36.316 -4.396 1.33 0 0 1 1
1 -35.925 -5.553 1.33 0 0 1 1
1 -35.451 -6.681 1.33 0 0 1 1
1 -34.947 -7.676 1.33 0 0 1 1
1 -34.207 -8.904 1.33 0 0 1 1
1 -33.623 -9.73 1.33 0 0 1 1
1 -32.785 -10.761 1.33 0 0 1 1
1 -31.923 -11.666 1.33 0 0 1 1
1 -31.04 -12.469 1.33 0 0 1 1
1 -30.08 -13.225 1.33 0 0 1 1
1 -29.067 -13.909 1.33 0 0 1 1
1 -28.007 -14.518 1.33 0 0 1 1
1 -26.907 -15.049 1.33 0 0 1 1
1 -25.77 -15.499 1.33 0 0 1 1
1 -24.605 -15.866 1.33 0 0 1 1
1 -23.414 -16.148 1.33 0 0 1 1
1 -22.209 -16.342 1.33 0 0 1 1
1 -20.99 -16.449 1.33 0 0 1 1
1 -19.77 -16.468 1.33 0 0 1 1
1 -18.548 -16.399 1.33 0 0 1 1
1 -17.339 -16.242 1.33 0 0 1 1
1 -16.039 -15.97 1.33 0 0 1 1
1 -14.964 -15.667 1.33 0 0 1 1
1 -13.814 -15.251 1.33 0 0 1 1
1 -12.69 -14.752 1.33 0 0 1 1
1 -12.317 -14.563 1.33 0 0 1 1
1 -11.623 -14.181 1.33 0 0 1 1
1 -10.585 -13.526 1.33 0 0 1 1
1 -9.685 -12.864 1.33 0 0 1 1
1 -8.744 -12.069 1.33 0 0 1 1
1 -8.311 -11.662 1.33 0 0 1 1
1 -7.808 -11.15 1.33 0 0 1 1
1 -7.067 -10.304 1.33 0 0 1 1
1 -6.322 -9.329 1.33 0 0 1 1
1 -5.942 -8.77 1.33 0 0 1 1
1 -5.604 -8.228 1.33 0 0 1 1
1 -5.015 -7.153 1.33 0 0 1 1
1 -4.506 -6.04 1.33 0 0 1 1
1 -4.08 -4.896 1.33 0 0 1 1
1 -3.737 -3.722 1.33 0 0 1 1
1 -3.57 -2.996 1.33 0 0 1 1
1 -3.474 -2.5 1.33 0 0 1 1
1 -3.343 -2.011 1.33 0 0 1 1
1 -3.114 -1.522 1.33 0 0 1 1
1 -2.828 -1.108 1.33 0 0 1 1
1 -2.424 -0.697 1.33 0 0 1 1
1 -2.01 -0.405 1.33 0 0 1 1
1 -1.45 -0.145 1.33 0 0 1 1
1 -0.963 -0.016 1.33 0 0 1 1
1 -0.492 0.026 1.33 0 0 1 1
1 0.213 0.028 1.33 0 0 1 1
2 0.574 0.002 2.66 0 0 1 1
2 0.738 -0.02 2.66 0 0 1 1
2 1.244 -0.156 2.66 0 0 1 1
2 1.615 -0.322 2.66 0 0 1 1
2 1.857 -0.461 2.66 0 0 1 1
2 2.182 -0.695 2.66 0 0 1 1
2 2.46 -0.965 2.66 0 0 1 1
2 2.572 -1.087 2.66 0 0 1 1
2 2.872 -1.516 2.66 0 0 1 1
2 3.05 -1.881 2.66 0 0 1 1
2 3.148 -2.151 2.66 0 0 1 1
2 3.499 -3.725 2.66 0 0 1 1
2 3.753 -4.613 2.66 0 0 1 1
2 3.84 -4.892 2.66 0 0 1 1
2 4.268 -6.041 2.66 0 0 1 1
2 4.778 -7.155 2.66 0 0 1 1
2 5.212 -7.96 2.66 0 0 1 1
2 5.699 -8.764 2.66 0 0 1 1
2 6.024 -9.247 2.66 0 0 1 1
2 6.763 -10.227 2.66 0 0 1 1
2 7.571 -11.151 2.66 0 0 1 1
2 8.042 -11.633 2.66 0 0 1 1
2 8.431 -12.003 2.66 0 0 1 1
2 9.365 -12.802 2.66 0 0 1 1
2 10.348 -13.527 2.66 0 0 1 1
2 11.385 -14.182 2.66 0 0 1 1
2 12.014 -14.529 2.66 0 0 1 1
2 12.454 -14.753 2.66 0 0 1 1
2 13.576 -15.252 2.66 0 0 1 1
2 14.726 -15.667 2.66 0 0 1 1
2 15.904 -15.997 2.66 0 0 1 1
2 16.808 -16.188 2.66 0 0 1 1
2 17.095 -16.241 2.66 0 0 1 1
2 18.311 -16.399 2.66 0 0 1 1
2 19.532 -16.468 2.66 0 0 1 1
2 20.755 -16.449 2.66 0 0 1 1
2 21.676 -16.374 2.66 0 0 1 1
2 21.966 -16.343 2.66 0 0 1 1
2 23.177 -16.147 2.66 0 0 1 1
2 24.369 -15.865 2.66 0 0 1 1
2 25.25 -15.594 2.66 0 0 1 1
2 25.527 -15.501 2.66 0 0 1 1
2 26.669 -15.049 2.66 0 0 1 1
2 27.77 -14.518 2.66 0 0 1 1
2 28.831 -13.907 2.66 0 0 1 1
2 29.599 -13.395 2.66 0 0 1 1
2 29.838 -13.227 2.66 0 0 1 1
2 30.802 -12.469 2.66 0 0 1 1
2 31.706 -11.645 2.66 0 0 1 1
2 32.549 -10.758 2.66 0 0 1 1
2 33.139 -10.048 2.66 0 0 1 1
2 33.32 -9.819 2.66 0 0 1 1
2 34.044 -8.792 2.66 0 0 1 1
2 34.66 -7.769 2.66 0 0 1 1
2 35.215 -6.677 2.66 0 0 1 1
2 35.512 -5.994 2.66 0 0 1 1
2 35.685 -5.558 2.66 0 0 1 1
2 36.078 -4.394 2.66 0 0 1 1
2 36.313 -3.506 2.66 0 0 1 1
2 36.47 -2.791 2.66 0 0 1 1
2 36.604 -2.011 2.66 0 0 1 1
2 36.708 -1.1 2.66 0 0 1 1
2 36.771 -0.122 2.66 0 0 1 1
2 36.781 0.423 2.66 0 0 1 1
2 36.752 1.349 2.66 0 0 1 1
2 36.709 1.953 2.66 0 0 1 1
2 36.604 2.865 2.66 0 0 1 1
2 36.444 3.769 2.66 0 0 1 1
2 36.313 4.361 2.66 0 0 1 1
2 36.077 5.255 2.66 0 0 1 1
2 35.911 5.778 2.66 0 0 1 1
2 35.574 6.691 2.66 0 0 1 1
2 35.213 7.535 2.66 0 0 1 1
2 34.8 8.359 2.66 0 0 1 1
2 34.506 8.889 2.66 0 0 1 1
2 34.028 9.672 2.66 0 0 1 1
2 33.503 10.425 2.66 0 0 1 1
2 33.136 10.907 2.66 0 0 1 1
2 32.548 11.614 2.66 0 0 1 1
2 31.919 12.285 2.66 0 0 1 1
